Added At,Name,Album,Release Date,Artists,Genres,Popularity,Duration (ms),Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
2024-05-31T20:15:05Z,FEMME FATALE,FEMME FATALE,2024-05-02,Emma,"italian pop, italian adult pop",62,190714,0.123,0.685,0.802,0,0.125,-6.894,0.253,140.021,0.505
2024-05-31T19:25:16Z,Amare,My Mamma,2021-03-05,La rappresentante di lista,"indie siciliano, italian pop, italian indie pop, italian alternative",46,200733,0.193,0.666,0.73,5.54e-06,0.185,-4.865,0.0492,129.88,0.195
2024-05-31T19:17:18Z,Come Foglie,Malika Ayane (Deluxe Edition),2009-02-19,Malika Ayane,"classic italian pop, italian adult pop",54,225240,0.298,0.524,0.564,0,0.102,-6.234,0.0274,87.042,0.176
2024-05-16T22:20:07Z,L'Ultima Volta,SARAH,2024-05-17,Sarah,"italian pop, indie",53,165000,0.499,0.637,0.894,0,0.496,-5.174,0.113,149.981,0.78
2024-04-18T21:01:55Z,L'amore è un'altra cosa,Amami,2012-02-15,Arisa,italian adult pop,39,223753,0.657,0.607,0.494,0,0.114,-6.523,0.038,92.584,0.208
2024-04-13T18:12:11Z,INIZIAMO DALLA FINE,SOUVENIR,2023-10-12,Emma,"italian pop, italian adult pop",57,193563,0.124,0.68,0.823,0,0.271,-3.41,0.0467,94.049,0.433
2024-03-21T16:04:14Z,La Mia Città,Schiena,2013-01-01,Emma,"italian pop, italian adult pop",33,211493,0.0884,0.648,0.926,0,0.0702,-4.177,0.0394,135.91,0.92
2024-01-25T15:25:18Z,IO ero io - Live,Nel Caos Di Stanze Stupefacenti LIVE 2017,2017-11-17,Levante,"italian pop, turin indie, italian adult pop",5,255625,0.838,0.318,0.543,0.0591,0.651,-7.482,0.0405,135.743,0.247
2024-01-25T15:15:36Z,Gesù Cristo sono io,Nel Caos Di Stanze Stupefacenti,2017-04-07,Levante,"italian pop, turin indie, italian adult pop",36,193733,0.0343,0.671,0.96,0,0.162,-1.278,0.0822,139.951,0.633
2024-01-19T15:08:13Z,Controtempo,RELAX,2023-10-20,Calcutta ,"italian pop, rome indie",61,224562,0.166,0.748,0.495,0.00159,0.16,-8.3,0.0547,94.008,0.732
2024-01-19T15:07:43Z,"You're On Your Own, Kid",Midnights,2022-10-21,Taylor Swift,pop,78,194206,0.447,0.696,0.39,1.55e-05,0.125,-10.331,0.0616,120.032,0.395
2024-01-19T14:59:18Z,Agosto,Agosto,2023-02-13,Efrem,pop,16,192000,0.76,0.571,0.374,0,0.177,-10.05,0.0308,79.987,0.0788
2024-01-18T18:41:58Z,Cruel Summer,Lover,2019-08-23,Taylor Swift,pop,94,178426,0.117,0.552,0.702,2.06e-05,0.105,-5.707,0.157,169.994,0.564
2024-01-18T18:41:57Z,You’re Losing Me (From The Vault),You're Losing Me (From The Vault),2023-11-29,Taylor Swift,pop,79,277831,0.509,0.744,0.396,0.00319,0.121,-13.712,0.057,102.969,0.18
2023-12-17T22:26:38Z,Crazy For You,19,2008-11-17,Adele,"pop soul, uk pop, pop, british soul",50,208040,0.91,0.707,0.139,0,0.105,-12.3,0.0507,85.868,0.323
2023-12-10T10:23:45Z,Christmas Tree Farm,Christmas Tree Farm,2019-12-06,Taylor Swift,pop,56,228026,0.06,0.598,0.68,0,0.324,-4.505,0.0331,134.002,0.437
2023-12-06T12:41:34Z,Anti-Hero,Midnights,2022-10-21,Taylor Swift,pop,85,200690,0.121,0.633,0.648,2.62e-06,0.161,-6.645,0.062,96.888,0.49
2023-12-02T15:11:12Z,MEZZO MONDO,SOUVENIR,2023-10-12,Emma,"italian pop, italian adult pop",28,214958,0.295,0.836,0.706,0,0.103,-5.663,0.0391,121.069,0.876
2023-11-14T12:00:45Z,Ghiaccioli,RELAX,2023-10-20,Calcutta ,"italian pop, rome indie",46,187315,0.555,0.738,0.555,1.32e-05,0.0938,-8.591,0.0362,101.139,0.649
2023-11-09T11:30:26Z,2minuti,RELAX,2023-10-20,Calcutta ,"italian pop, rome indie",66,214291,0.157,0.764,0.593,1.94e-06,0.144,-7.853,0.029,122.959,0.668
2023-10-06T15:30:01Z,INIZIAMO DALLA FINE,INIZIAMO DALLA FINE,2023-08-31,Emma,"italian pop, italian adult pop",1,193563,0.111,0.679,0.801,0,0.268,-4.263,0.0476,94.04,0.437
2023-09-22T14:34:16Z,RUMORE,RUMORE,2023-09-11,ARIETE,"italian hip hop, rome indie, italian pop",0,159306,0.836,0.613,0.364,0,0.303,-9.326,0.0412,147.88,0.334
2023-08-25T08:40:48Z,Alta marea,Alta marea,2023-06-16,"Coez, Frah Quintale","italian hip hop, italian indie pop, rome indie, milan indie, rap napoletano, italian pop, italian adult pop",57,171903,0.054,0.737,0.75,0,0.123,-5.692,0.0432,109.988,0.813
2023-08-08T09:01:07Z,Scusa Se Vado Via,Sarò Libera (Sanremo Edition),2011,Emma,"italian pop, italian adult pop",7,222080,0.401,0.384,0.786,0,0.112,-4.385,0.0766,203.898,0.607
2023-08-07T11:21:26Z,Corri,Fortuna,2020-08-27,Emma,"italian pop, italian adult pop",20,223293,0.0466,0.731,0.577,0,0.0605,-6.764,0.0489,124.033,0.407
2023-07-29T09:28:16Z,Sarò Libera,Sarò Libera,2011-01-01,Emma,"italian pop, italian adult pop",19,202680,0.519,0.54,0.667,0,0.107,-4.272,0.0514,119.434,0.302
2023-07-07T13:50:45Z,happier,SOUR,2021-05-21,Olivia Rodrigo,pop,84,175933,0.765,0.395,0.443,9.67e-06,0.0839,-9.72,0.133,168.924,0.338
2023-07-07T13:50:44Z,favorite crime,SOUR,2021-05-21,Olivia Rodrigo,pop,84,152666,0.866,0.369,0.272,0,0.147,-10.497,0.0364,172.929,0.218
2023-07-07T13:50:40Z,traitor,SOUR,2021-05-21,Olivia Rodrigo,pop,86,229226,0.691,0.38,0.339,0,0.12,-7.885,0.0338,100.607,0.0849
2023-07-07T13:50:39Z,deja vu,SOUR,2021-05-21,Olivia Rodrigo,pop,85,215506,0.584,0.442,0.612,5.7e-06,0.37,-7.222,0.112,180.917,0.178
2023-07-07T13:50:37Z,good 4 u,SOUR,2021-05-21,Olivia Rodrigo,pop,84,178146,0.335,0.563,0.664,0,0.0849,-5.044,0.154,166.928,0.688
2023-07-07T13:50:01Z,vampire,vampire,2023-06-30,Olivia Rodrigo,pop,17,219724,0.148,0.484,0.53,0,0.283,-5.82,0.054,136.874,0.319
2023-07-03T17:56:34Z,.,if i could make it go quiet,2021-04-30,girl in red,"indie, indie pop, norwegian indie, bedroom pop",64,166240,0.0838,0.451,0.907,0.832,0.137,-7.362,0.291,151.988,0.317
2023-07-03T17:56:29Z,midnight love,if i could make it go quiet,2021-04-30,girl in red,"indie, indie pop, norwegian indie, bedroom pop",67,193928,0.717,0.284,0.538,0.105,0.111,-9.894,0.0886,179.708,0.259
2023-07-03T17:55:43Z,Body And Mind,if i could make it go quiet,2021-04-30,girl in red,"indie, indie pop, norwegian indie, bedroom pop",57,186672,0.0718,0.575,0.572,0,0.0995,-5.928,0.0635,150.894,0.551
2023-07-01T17:27:35Z,Rue,Rue,2020-08-26,girl in red,"indie, indie pop, norwegian indie, bedroom pop",31,216831,0.102,0.582,0.772,0.0449,0.168,-9.438,0.0559,124.975,0.273
2023-07-01T13:55:16Z,Yellow,Parachutes,2000-07-10,Coldplay,"permanent wave, pop",88,266773,0.00239,0.429,0.661,0.000121,0.234,-7.227,0.0281,173.372,0.285
2023-06-29T13:06:55Z,CICATRICI (feat. Madame),SPECCHIO,2022-02-24,"ARIETE, Madame","italian hip hop, rome indie, trap italiana, italian pop",52,173075,0.582,0.542,0.508,0,0.106,-9.573,0.101,76.697,0.238
2023-06-29T13:06:55Z,SPIFFERI,SPECCHIO,2022-02-24,ARIETE,"italian hip hop, rome indie, italian pop",53,206093,0.882,0.431,0.317,0,0.0931,-11.571,0.0572,92.878,0.391
2023-06-28T13:33:09Z,CAMPO MINATO (feat. ARIETE),"RAVE, ECLISSI",2022-11-24,"Tananai, ARIETE","rome indie, italian pop, italian hip hop, italian adult pop",51,195344,0.467,0.536,0.438,0,0.15,-7.422,0.0449,87.115,0.267
2023-06-06T08:52:11Z,Hearts,Glasshouse,2017-10-20,Jessie Ware,"electropop, pop soul, british soul, uk pop, neo soul",36,213946,0.628,0.508,0.363,6.42e-06,0.0844,-8.39,0.0457,104.725,0.168
2023-04-26T17:20:55Z,Ghosts,The Elefant Collective,2023-04-26,"The Elefant Collective, Zara Beth",pop,14,194586,0.904,0.662,0.109,0,0.25,-16.586,0.0377,109.898,0.319
2023-04-17T16:57:35Z,She's Mine,She's Mine,2022-07-10,Zara Beth,pop,23,248998,0.921,0.356,0.119,0.00876,0.112,-21.381,0.0347,132.261,0.0469
2023-04-01T11:56:57Z,betty,folklore,2020-07-24,Taylor Swift,pop,73,294521,0.6,0.593,0.377,0,0.0976,-8.761,0.0253,95.939,0.502
2023-03-15T18:15:06Z,Sembra quasi,Tante care cose e altri successi,2022-03-11,Fulminacci,"italian pop, italian indie pop, rome indie",38,198040,0.812,0.622,0.445,0,0.121,-8.161,0.0288,141.933,0.391
2023-03-14T17:25:13Z,Duemilaminuti,Duemilaminuti,2023-02-08,Mara Sattei,"italian hip hop, italian pop",55,224993,0.195,0.54,0.633,0,0.0376,-4.643,0.0391,132.823,0.193
2023-03-02T17:09:57Z,Iride blu e Cuore liquido,Opera Futura,2023-02-17,Levante,"italian pop, turin indie, italian adult pop",26,186428,0.676,0.532,0.634,0,0.361,-3.763,0.033,139.579,0.308
2023-03-02T17:09:54Z,Leggera,Opera Futura,2023-02-17,Levante,"italian pop, turin indie, italian adult pop",37,185169,0.0319,0.658,0.867,0.000751,0.375,-3.238,0.0669,126.076,0.485
2023-03-02T17:09:52Z,Metro,Opera Futura,2023-02-17,Levante,"italian pop, turin indie, italian adult pop",30,157279,0.278,0.725,0.719,1.77e-06,0.109,-4.183,0.0288,135.943,0.582
2023-03-02T17:09:50Z,Mi manchi,Opera Futura,2023-02-17,Levante,"italian pop, turin indie, italian adult pop",36,194117,0.716,0.411,0.641,0,0.224,-3.951,0.0379,82.323,0.511
2023-03-02T17:09:48Z,Invincibile,Opera Futura,2023-02-17,Levante,"italian pop, turin indie, italian adult pop",26,233235,0.48,0.456,0.812,0,0.143,-3.109,0.0353,140.08,0.281
2023-02-13T15:43:16Z,IL BENE NEL MALE,IL BENE NEL MALE,2023-02-09,Madame,"italian hip hop, trap italiana, italian pop",55,213143,0.243,0.828,0.708,0.115,0.094,-8.647,0.0521,119.015,0.62
2023-02-09T11:24:24Z,Vivo,Vivo,2023-02-09,Levante,"italian pop, turin indie, italian adult pop",39,201425,0.494,0.561,0.867,0,0.107,-3.221,0.0664,119.948,0.481
2023-02-08T08:13:20Z,MARE DI GUAI,MARE DI GUAI,2023-02-08,ARIETE,"italian hip hop, rome indie, italian pop",48,204486,0.17,0.587,0.549,0,0.188,-6.045,0.042,131.996,0.324
2023-02-05T15:48:19Z,Normale,Normale,2022-11-04,Giorgia,"classic italian pop, italian adult pop",27,194330,0.482,0.477,0.697,0,0.0959,-6.09,0.0847,114.869,0.343
2023-01-23T19:03:09Z,First Love,19,2008-11-17,Adele,"pop soul, uk pop, pop, british soul",36,190280,0.985,0.683,0.112,0.00552,0.09,-13.461,0.0338,81.355,0.337
2023-01-23T19:03:07Z,Melt My Heart to Stone,19,2008-11-17,Adele,"pop soul, uk pop, pop, british soul",49,203906,0.346,0.353,0.388,0,0.215,-7.091,0.0366,80.67,0.19
2023-01-23T19:03:02Z,Lovesong,21,2011-01-24,Adele,"pop soul, uk pop, pop, british soul",59,316240,0.693,0.689,0.369,0.00236,0.111,-9.407,0.0278,116.885,0.361
2023-01-23T19:03:01Z,One And Only,21,2011-01-24,Adele,"pop soul, uk pop, pop, british soul",60,348226,0.295,0.528,0.468,0,0.165,-5.306,0.0287,154.974,0.185
2023-01-23T19:02:59Z,Don't You Remember,21,2011-01-24,Adele,"pop soul, uk pop, pop, british soul",63,243200,0.214,0.644,0.4,0,0.0866,-5.713,0.0304,115.025,0.227
2023-01-23T19:02:58Z,He Won't Go,21,2011-01-24,Adele,"pop soul, uk pop, pop, british soul",55,278040,0.0225,0.706,0.57,0,0.0754,-7.045,0.086,159.908,0.728
2023-01-23T19:02:54Z,Rumour Has It,21,2011-01-24,Adele,"pop soul, uk pop, pop, british soul",65,223266,0.615,0.612,0.749,0,0.167,-5.014,0.0446,120.052,0.574
2023-01-23T19:02:49Z,Remedy,25,2015-11-20,Adele,"pop soul, uk pop, pop, british soul",61,245426,0.894,0.405,0.3,0,0.154,-6.475,0.0378,162.355,0.24
2023-01-23T19:02:43Z,Love Is A Game,30,2021-11-19,Adele,"pop soul, uk pop, pop, british soul",61,403044,0.453,0.269,0.591,0.000695,0.0702,-5.79,0.0416,183.793,0.228
2023-01-23T19:02:39Z,My Little Love,30,2021-11-19,Adele,"pop soul, uk pop, pop, british soul",63,389107,0.829,0.339,0.492,0.00377,0.147,-10.661,0.0559,151.865,0.102
2023-01-23T19:02:37Z,I Drink Wine,30,2021-11-19,Adele,"pop soul, uk pop, pop, british soul",71,376169,0.697,0.437,0.565,0,0.119,-5.596,0.0466,115.389,0.306
2023-01-23T19:02:35Z,Can I Get It,30,2021-11-19,Adele,"pop soul, uk pop, pop, british soul",67,210384,0.0171,0.703,0.68,0,0.178,-6.118,0.0431,97.985,0.536
2023-01-23T12:53:42Z,Ciao Ciao,Ciao Ciao,2022-02-02,La rappresentante di lista,"indie siciliano, italian pop, italian indie pop, italian alternative",53,184311,0.125,0.747,0.819,2.61e-06,0.331,-4.602,0.134,117.994,0.637
2022-11-30T16:15:00Z,Punk,Punk,2018-11-30,Gazzelle,"italian pop, rome indie, italian adult pop",0,233760,0.526,0.657,0.438,0.00287,0.138,-5.587,0.0314,133.857,0.349
2022-11-23T21:19:42Z,To Be Loved,30,2021-11-19,Adele,"pop soul, uk pop, pop, british soul",63,403961,0.843,0.356,0.176,0,0.231,-8.291,0.0391,170.425,0.289
2022-11-12T08:03:41Z,Love In The Dark,25,2015-11-20,Adele,"pop soul, uk pop, pop, british soul",79,285935,0.528,0.331,0.341,0,0.109,-6.057,0.0309,109.821,0.152
2022-11-11T20:07:37Z,ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,Billie Eilish,"pop, art pop",75,156370,0.724,0.855,0.423,0.469,0.0896,-15.044,0.0585,120.02,0.572
2022-11-11T16:41:54Z,Fear Me,Fear Me,2022-09-29,"JLYN, Silverberg, Alaina Cross",bossbeat,27,136895,9.9e-05,0.551,0.733,0.343,0.0689,-7.093,0.138,123.955,0.398
2022-11-11T16:34:20Z,"I am not a woman, I'm a god","If I Can’t Have Love, I Want Power",2021-08-27,Halsey,"indie poptimism, electropop, pop, etherpop",52,176413,0.00375,0.517,0.7,0.0385,0.0634,-6.568,0.0452,179.986,0.518
2022-11-11T12:27:51Z,Darkest Hour,Shabrang,2020-08-28,Sevdaliza,"alternative r&b, persian electronic, escape room",44,268800,0.289,0.688,0.698,0.786,0.11,-9.739,0.0471,99.998,0.0769
2022-11-11T12:27:44Z,Hymn for Her,Hymn for Her,2022-02-11,Ames,melancholia,37,142016,0.714,0.483,0.12,0.000137,0.111,-16.11,0.0448,77.899,0.221
2022-11-10T13:20:34Z,E.T.,Teenage Dream: The Complete Confection,2012-03-12,Katy Perry,pop,68,206373,0.0213,0.603,0.871,0,0.364,-5.404,0.08,150.103,0.69
2022-11-07T16:22:30Z,Icaro,Icaro,2022-11-04,Efrem,pop,21,166754,0.844,0.427,0.491,0,0.0922,-6.452,0.029,100.197,0.317
2022-11-03T14:53:58Z,Vuoto a perdere,RossoNoemi,2011-03-22,Noemi,"italian pop, italian adult pop",48,243293,0.0474,0.503,0.803,0,0.199,-4.511,0.0278,98.016,0.225
2022-11-03T14:48:10Z,Bella stronza,Il Cielo Della Vergine,1994-12-01,Marco Masini,"classic italian pop, italian adult pop",49,321600,0.332,0.526,0.471,0,0.0914,-6.723,0.0306,107.646,0.273
2022-10-16T10:10:49Z,I'll Call You Mine,if i could make it go quiet,2021-04-30,girl in red,"indie, indie pop, norwegian indie, bedroom pop",63,201945,0.173,0.612,0.727,5.61e-05,0.273,-5.141,0.0492,119.907,0.677
2022-10-16T10:10:42Z,October Passed Me By,October Passed Me By,2022-10-14,girl in red,"indie, indie pop, norwegian indie, bedroom pop",63,165746,0.747,0.513,0.372,0.0572,0.102,-13.005,0.042,78.036,0.218
2022-10-16T10:10:19Z,i wanna be your girlfriend,i wanna be your girlfriend,2018-03-02,girl in red,"indie, indie pop, norwegian indie, bedroom pop",74,204990,0.0215,0.541,0.382,0.000836,0.304,-14.323,0.035,155.901,0.343
2022-10-16T10:10:17Z,bad idea!,bad idea!,2019-09-03,girl in red,"indie, indie pop, norwegian indie, bedroom pop",72,219638,0.0289,0.513,0.807,0.0548,0.246,-6.095,0.0481,162.026,0.419
2022-10-16T10:10:16Z,we fell in love in october,we fell in love in october / forget her,2018-11-21,girl in red,"indie, indie pop, norwegian indie, bedroom pop",0,184153,0.113,0.566,0.366,0.181,0.155,-12.808,0.028,129.96,0.237
2022-10-11T16:57:26Z,Chitarre blu,Tante care cose e altri successi,2022-03-11,Fulminacci,"italian pop, italian indie pop, rome indie",0,175946,0.752,0.676,0.417,4.03e-06,0.365,-8.383,0.252,79.957,0.486
2022-10-05T17:58:22Z,Al Giusto Momento,La Vita Veramente,2019-04-10,Fulminacci,"italian pop, italian indie pop, rome indie",0,216506,0.0632,0.706,0.495,4.44e-05,0.321,-6.651,0.0373,90.01,0.53
2022-09-26T05:24:13Z,2 Be Loved (Am I Ready),Special,2022-07-14,Lizzo,"minnesota hip hop, escape room, pop, trap queen",66,187107,0.0922,0.721,0.769,0,0.0817,-4.111,0.105,155.932,0.915
2022-09-14T07:50:24Z,Birds,Birds,2019-03-29,Kat Cunning,"hip hop, indie",0,203962,0.432,0.545,0.411,0,0.301,-6.368,0.0415,132.213,0.25
2022-09-14T07:49:15Z,Seventeen,Remind Me Tomorrow,2019-01-18,Sharon Van Etten,"melancholia, indie rock, singer-songwriter, art pop, new jersey indie, chamber pop",58,265920,0.0164,0.538,0.774,0.265,0.0685,-7.359,0.0484,127.107,0.249
2022-09-13T06:53:54Z,King of Shadow,King of Shadow,2019-06-14,Kat Cunning,indie rock,42,196007,0.126,0.591,0.547,0,0.174,-8.596,0.0284,116.017,0.253
2022-09-06T10:27:37Z,The One That Got Away,Teenage Dream: The Complete Confection,2012-03-12,Katy Perry,pop,71,227333,0.000802,0.688,0.792,0,0.2,-4.023,0.0353,133.958,0.863
2022-08-23T08:18:00Z,Fire for You,Shadows,2019-07-12,Cannons,chillwave,70,231825,0.114,0.737,0.678,0.157,0.123,-7.011,0.0962,102.051,0.698
2022-07-13T17:44:15Z,E yo mamma,Faccio un casino,2017-05-05,Coez,"rap napoletano, italian pop, rome indie, italian adult pop",59,201853,0.838,0.711,0.232,0,0.0844,-10.165,0.0795,139.785,0.361
2022-06-20T08:35:31Z,Snowflakes,Dreamweaver,2015-06-09,Christoffer Franzen,alternative pop,2,130204,0.975,0.223,0.158,0.951,0.0908,-17.037,0.036,133.003,0.039
2022-06-10T12:17:18Z,Il giorno prima del giorno dell'inizio non ha mai avuto fine,Magmamemoria,2019-10-04,Levante,"italian pop, turin indie, italian adult pop",0,234066,0.511,0.307,0.416,1.34e-06,0.131,-8.361,0.0396,68.701,0.258
2022-06-10T12:16:39Z,Ridere,Fuori dall'Hype Ringo Starr,2020-02-07,Pinguini Tattici Nucleari,"bergamo indie, italian pop, italian indie pop, milan indie",67,214733,0.0493,0.713,0.902,0,0.0781,-3.009,0.0378,116.909,0.72
2022-06-08T07:46:29Z,I Wanna Be Yours,AM,2013-09-09,Arctic Monkeys,"sheffield indie, garage rock, modern rock, rock, permanent wave",92,183956,0.136,0.464,0.417,0.022,0.0974,-9.345,0.0256,67.528,0.479
2022-06-04T12:32:40Z,Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),2021-09-17,Taylor Swift,pop,75,220433,0.0374,0.583,0.67,0.0001,0.126,-7.289,0.0646,140.061,0.498
2022-05-10T09:32:24Z,Luna Storta,Luna Storta,2022-05-06,Opposite,pop,12,207741,0.525,0.766,0.538,0,0.0777,-5.318,0.0316,92.951,0.616
2022-05-02T08:15:03Z,watch,dont smile at me,2017-12-22,Billie Eilish,"pop, art pop",79,177523,0.333,0.441,0.599,0.00198,0.103,-8.985,0.225,165.212,0.35
2022-05-02T08:01:02Z,Ciao per sempre,Abbi cura di te,2015-05-05,Levante,"italian pop, turin indie, italian adult pop",22,205760,0.0728,0.698,0.565,0.00212,0.106,-5.866,0.0335,102.994,0.342
2022-05-02T08:01:00Z,idontwannabeyouanymore,dont smile at me,2017-12-22,Billie Eilish,"pop, art pop",78,203569,0.737,0.483,0.412,0,0.116,-8.461,0.0402,170.163,0.247
2022-04-22T15:25:48Z,In Ogni Angolo Di Me,LA MIA CITTA',2022-03-08,Emma,"italian pop, italian adult pop",7,221786,0.402,0.572,0.764,0,0.0811,-4.192,0.036,97.964,0.405
2022-04-19T17:51:15Z,Incredibile Voglia Di Niente,Essere Qui - Boom Edition,2018-11-16,Emma,"italian pop, italian adult pop",16,212777,0.0967,0.615,0.55,0,0.0873,-10.527,0.0401,102.042,0.22
2022-03-31T17:49:46Z,Resta Ancora Un Po',E Live,2014-11-11,Emma,"italian pop, italian adult pop",30,213906,0.147,0.53,0.762,0,0.113,-2.77,0.0349,143.833,0.213
2022-03-31T17:45:29Z,Trattengo Il Fiato,Schiena,2013-01-01,Emma,"italian pop, italian adult pop",38,238666,0.573,0.628,0.619,0,0.111,-4.772,0.0316,118.877,0.387
2021-12-04T22:09:21Z,Hold On,Hold On,2017-02-03,Chord Overstreet,"singer-songwriter pop, acoustic pop",79,198853,0.469,0.618,0.443,0,0.0829,-9.681,0.0526,119.949,0.167
2021-11-18T16:06:01Z,Come nelle canzoni,Come nelle canzoni,2021-11-05,Coez,"rap napoletano, italian pop, rome indie, italian adult pop",50,212897,0.252,0.537,0.814,0,0.117,-5.855,0.281,175.878,0.505
2021-10-16T16:19:52Z,Easy On Me,Easy On Me,2021-10-14,Adele,"pop soul, uk pop, pop, british soul",79,224694,0.578,0.604,0.366,0,0.133,-7.519,0.0282,141.981,0.13
2021-10-07T17:02:54Z,Davvero,Davvero,2021-09-09,"Zeep, Kaizén",indie ,11,157341,0.067,0.706,0.444,4.5e-06,0.111,-9.641,0.0306,98.047,0.325
2021-10-07T15:50:16Z,Solo te,Spazio,2020-05-14,ARIETE,"italian hip hop, rome indie, italian pop",40,157894,0.209,0.505,0.535,0,0.291,-6.683,0.0363,151.842,0.286
2021-10-07T15:49:59Z,Oracolo,Oracolo,2021-09-17,Laila Al Habash,italian indie pop,16,197203,0.226,0.686,0.556,0.00185,0.187,-8.177,0.0588,76.037,0.564
2021-10-07T15:49:57Z,Non Esiste Amore A Napoli (feat. Calcutta),Non Esiste Amore A Napoli,2021-09-23,"TROPICO, Calcutta ","italian pop, rome indie",50,220300,0.212,0.618,0.703,0,0.117,-8.756,0.134,115.034,0.754
2021-10-07T15:49:55Z,Maledetti noi,Maledetti noi,2021-05-28,dile,"indie rock, italian pop",24,173987,0.0248,0.556,0.547,0,0.119,-6.593,0.0354,139.828,0.167
2021-10-07T15:49:54Z,Stupida canzone,È già domani,2021-09-17,Fast Animals and Slow Kids,"italian indie pop, italian alternative",36,204600,0.000765,0.548,0.941,1.17e-06,0.268,-3.537,0.0463,100.059,0.7
2021-10-07T15:49:52Z,Notti amarcord,Notti amarcord,2021-07-16,"Peter White, Zero Assoluto","italian pop, rome indie, italian adult pop",22,165183,0.269,0.625,0.719,0,0.321,-6.582,0.0648,100.006,0.551
2021-10-07T15:49:49Z,Giornata di merda,Giornata di merda,2021-06-18,Ciliari,"italian hip hop, indie, italian pop",44,198864,0.103,0.722,0.764,0,0.334,-6.217,0.0705,122.097,0.671
2021-10-07T15:43:12Z,Fiamme negli occhi,Fiamme negli occhi,2021-03-03,Coma_Cose,"italian adult pop, milan indie, italian indie pop, italian pop, italian alternative",49,206001,0.0353,0.683,0.606,1.23e-06,0.131,-6.473,0.0305,104.018,0.7
2021-10-07T15:42:59Z,passi falsi,passi falsi,2021-09-03,SANTACHIARA,"italian hip hop, indie, italian pop",24,200861,0.282,0.713,0.495,0,0.16,-10.912,0.0606,123.939,0.891
2021-10-07T15:42:43Z,DIECIMILAVOCI (con ARIETE),TAXI DRIVER,2021-04-29,"Rkomi, ARIETE","italian hip hop, rome indie, italian pop",0,170399,0.647,0.677,0.47,0,0.416,-8.17,0.0336,122.089,0.525
2021-10-07T15:42:29Z,DUE,DUE,2021-04-16,svegliaginevra,italian indie pop,0,151997,0.387,0.536,0.834,0,0.702,-6.582,0.102,159.719,0.635
2021-10-05T16:56:13Z,Alieni,Alieni,2021-10-01,M.E.R.L.O.T,"italian hip hop, indie, italian pop",23,167965,0.0736,0.536,0.662,0,0.235,-6.669,0.133,171.746,0.573
2021-10-05T16:50:12Z,Arianna,Arianna,2021-07-13,Pablo America,"italian hip hop, indie, italian pop",11,252569,0.0399,0.538,0.758,2.15e-06,0.357,-5.045,0.0357,130.052,0.391
2021-10-05T16:29:14Z,Roma Centro,Roma Centro,2021-05-21,Evandro,"italian hip hop, indie, italian pop",0,173948,0.438,0.492,0.506,0,0.371,-6.2,0.0572,151.811,0.173
2021-10-03T20:46:47Z,Mandorle,Mandorle,2021-09-23,Te quiero Euridice,indie folk italiano,5,154888,0.846,0.517,0.483,0.00474,0.269,-6.864,0.0444,173.54,0.0902
